PacketCounter;Acc_X;Acc_Y;Acc_Z;FreeAcc_X;FreeAcc_Y;FreeAcc_Z;Gyr_X;Gyr_Y;Gyr_Z;Mag_X;Mag_Y;Mag_Z;Quat_q0;Quat_q1;Quat_q2;Quat_q3;label
5052;-2.372538;8.957537;-1.209936;-0.147607;-0.109608;-0.469426;-0.147133;-0.013954;0.045459;0.50293;-0.778809;0.37915;0.632998;0.648216;0.378768;0.188851;POINTING
5053;-2.355273;9.090721;-1.204297;-0.108837;-0.086901;-0.345933;-0.132752;-0.021376;0.035648;0.499512;-0.785645;0.374268;0.633438;0.647876;0.378458;0.18916;POINTING
5054;-2.337198;9.23122;-1.222829;-0.081592;-0.0451;-0.212452;-0.113462;-0.025599;0.030201;0.500977;-0.787598;0.368164;0.63383;0.647579;0.378197;0.189389;POINTING
5055;-2.365142;9.295902;-1.295957;-0.142045;0.002066;-0.134516;-0.108044;-0.041764;0.030007;0.495361;-0.7771;0.371582;0.634234;0.647326;0.377864;0.189567;POINTING
5056;-2.269127;9.282323;-1.387202;-0.144769;0.140552;-0.15898;-0.108278;-0.053092;0.014746;0.501953;-0.787109;0.368408;0.634681;0.64704;0.377563;0.189648;POINTING
5057;-2.166016;9.205689;-1.345376;-0.069831;0.179938;-0.262341;-0.086088;-0.026383;-0.019539;0.500244;-0.781006;0.369385;0.635031;0.646748;0.377459;0.189677;POINTING
5058;-2.121058;9.026237;-1.448721;-0.152205;0.282164;-0.43357;-0.035231;-0.002502;-0.041153;0.49707;-0.788086;0.366943;0.635199;0.646542;0.377568;0.1896;POINTING
5059;-2.084908;8.92838;-1.478618;-0.168466;0.324725;-0.532855;0.022698;0.019679;-0.042015;0.498291;-0.784912;0.368652;0.635132;0.646509;0.377786;0.189501;POINTING
5060;-2.045049;8.885958;-1.572215;-0.206229;0.416712;-0.571576;0.074743;0.04331;-0.024683;0.495117;-0.786865;0.371826;0.63484;0.646638;0.378092;0.189431;POINTING
5061;-2.175509;9.148853;-1.579346;-0.228836;0.346041;-0.286063;0.140606;0.051466;-0.009979;0.499512;-0.778809;0.366699;0.634301;0.64701;0.37842;0.189313;POINTING
5062;-2.378182;9.418686;-1.519149;-0.254096;0.170398;0.014904;0.223171;0.048683;0.036842;0.500732;-0.777832;0.377197;0.633458;0.647722;0.378685;0.18917;POINTING
5063;-2.51471;9.612276;-1.334334;-0.168959;-0.069388;0.210617;0.292896;0.052471;0.08153;0.500244;-0.786865;0.375244;0.632336;0.648747;0.378862;0.189057;POINTING
5064;-2.495328;9.718352;-1.302858;-0.093748;-0.102724;0.304182;0.306285;0.057789;0.108777;0.498535;-0.783691;0.384033;0.631133;0.649851;0.379003;0.189002;POINTING
5065;-2.366814;9.770019;-1.306051;0.02016;-0.040627;0.324311;0.240462;0.064795;0.094472;0.499512;-0.778809;0.376953;0.630143;0.65072;0.379126;0.189068;POINTING
5066;-2.184383;9.741201;-1.325144;0.138923;0.071109;0.256778;0.168706;0.081833;0.062523;0.502197;-0.78125;0.383301;0.629386;0.651278;0.379358;0.189202;POINTING
5067;-2.140551;9.675534;-1.359591;0.136832;0.106436;0.18813;0.125658;0.09374;0.036162;0.499268;-0.775391;0.391113;0.628768;0.651646;0.379653;0.189397;POINTING
